Q-E,PH-E,DBO-E,DQO-E,SS-E,PH-S,DBO-S,DQO-S,SS-S,BOD_removal
40980.3,8.12,179.5,360.6,176.8,7.6,17.1,56.3,12.2,90.47
37170.4,7.98,211.3,446.7,218.4,7.67,20.9,58.7,15.0,90.13
41886.1,7.72,172.5,372.3,220.9,7.64,21.5,68.5,22.3,87.53
47138.2,7.51,201.5,481.4,243.6,7.55,28.1,91.4,34.2,86.07
36595.1,7.91,106.4,240.0,151.7,7.7,3.5,23.2,3.6,96.67
36595.2,7.82,232.8,481.1,249.6,7.58,28.9,87.2,28.0,87.59
47475.3,7.97,220.1,494.9,84.8,7.61,22.3,83.3,7.6,89.86
42604.6,7.89,171.0,349.7,188.5,7.57,14.7,55.4,11.0,91.41
35183.2,8.01,259.6,599.1,195.6,7.65,28.7,102.7,16.3,88.92
41255.4,7.54,276.3,594.7,251.7,7.51,38.1,120.0,27.6,86.2
35219.5,8.1,123.5,270.6,221.1,7.69,4.0,22.8,4.9,96.78
35205.6,7.76,174.2,406.4,149.7,7.57,9.1,41.6,7.0,94.79
39451.8,8.32,173.9,360.1,170.8,7.74,14.5,50.8,14.3,91.68
26520.3,7.49,163.6,337.1,229.9,7.44,6.8,32.3,4.4,95.81
27650.5,8.22,269.8,577.7,216.0,7.78,19.6,68.1,12.0,92.74
34626.3,7.76,208.4,480.1,191.0,7.58,17.3,68.1,14.3,91.7
31923.0,7.5,204.1,418.1,196.0,7.49,20.9,60.6,17.9,89.76
39885.5,7.55,99.8,191.2,254.8,7.46,4.4,15.4,7.9,95.63
32551.9,7.6,258.1,556.2,194.1,7.44,21.5,83.6,12.4,91.67
29526.2,7.83,145.6,328.5,215.6,7.69,5.3,28.5,5.2,96.35
46793.9,7.86,223.6,518.7,328.5,7.65,35.0,115.1,44.9,84.34
36645.3,7.53,236.6,509.7,148.8,7.39,23.8,67.4,9.7,89.96
38405.2,7.69,301.6,651.2,127.4,7.61,36.5,103.2,14.3,87.9
29451.5,8.34,141.5,327.6,259.2,7.82,9.5,38.0,10.3,93.25
34733.7,8.22,80.0,161.0,186.1,7.72,3.0,10.0,4.1,96.25
38665.5,7.83,231.0,499.3,204.1,7.71,28.3,87.9,20.2,87.73
31094.0,7.71,328.0,727.9,180.9,7.58,38.7,120.0,18.4,88.19
40254.2,7.74,294.3,660.8,207.0,7.47,40.1,117.3,22.2,86.39
34396.2,7.88,232.6,499.8,299.9,7.64,18.2,58.9,17.1,92.16
36249.8,7.39,190.5,419.8,260.1,7.49,16.7,59.8,19.7,91.25
34389.8,7.62,268.4,523.7,263.1,7.49,33.1,84.9,28.5,87.65
49113.7,7.2,161.6,344.9,149.2,7.45,15.4,50.3,12.3,90.46
